size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
400,15,500,1,4,104,83,0.19125,0.3511111111111111,1,0,0,0.581525299930945,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,15,300,1,5,105,41,-0.01,0.4488888888888889,1,0,0,0.7818438999820501,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,30,300,1,6,106,44,-0.0775,0.3466666666666667,1,0,0,0.7817848999984562,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,30,100,1,7,107,4,-0.2775,0.5577777777777778,1,0,0,0.9817027999088168,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,45,300,1,8,108,51,-0.08125,0.2777777777777778,1,0,0,0.465156500111334,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,15,300,1,9,109,40,-0.01625,0.4866666666666667,1,0,0,1.414325900026597,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,75,300,1,10,110,59,-0.27625,-0.04,1,0,0,0.4649936000350863,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,60,300,1,11,111,54,-0.15625,0.03333333333333333,1,0,0,0.4980345999356359,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,75,500,1,12,112,97,-0.23,-0.37555555555555553,1,0,0,0.8815787000348791,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,60,500,1,13,113,95,-0.06125,-0.44,1,0,0,0.4988032999681309,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,45,400,1,14,114,69,-0.07625,0.04666666666666667,1,0,0,0.5650127000408247,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,60,100,1,15,115,15,-0.30875,0.43777777777777777,1,0,0,0.34869399992749095,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,45,500,1,16,116,88,0.04625,-0.09555555555555556,1,0,0,0.9466875999933109,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,15,200,1,17,117,23,-0.17625,0.5777777777777777,1,0,0,0.43272699997760355,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,15,400,1,18,118,63,0.10625,0.44,1,0,0,0.4985396999400109,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,30,400,1,19,119,66,0.05375,0.30444444444444446,1,0,0,0.6150908999843523,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,30,400,1,20,120,64,0.0625,0.22444444444444445,1,0,0,1.5806947000091895,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
